search_region_id,daangn_region_id,region_name
1,11,종로1.2.3.4가동
2,11,종로1.2.3.4가동
3,3,청운효자동
4,4,사직동
5,5,삼청동
6,6,부암동
7,7,평창동
8,8,무악동
9,9,교남동
10,10,가회동
11,11,종로1.2.3.4가동
12,12,종로5.6가동
13,13,이화동
14,14,혜화동
15,15,창신제1동
16,16,창신제2동
17,17,창신제3동
18,18,숭인제1동
19,19,숭인제2동
20,28,신당동
21,21,소공동
22,22,회현동
23,23,명동
24,24,필동
25,25,장충동
26,26,광희동
27,27,을지로동
28,28,신당동
29,29,다산동
30,30,약수동
31,31,청구동
32,32,신당제5동
33,33,동화동
34,34,황학동
35,35,중림동
36,50,한남동
37,37,후암동
38,38,용산2가동
39,39,남영동
40,40,청파동
41,41,원효로제1동
42,42,원효로제2동
43,43,효창동
44,44,용문동
45,45,한강로동
46,46,이촌제1동
47,47,이촌제2동
48,48,이태원제1동
49,49,이태원제2동
50,50,한남동
51,51,서빙고동
52,52,보광동
53,6143,행당동
54,54,왕십리제2동
55,55,왕십리도선동
56,56,마장동
57,57,사근동
58,58,행당제1동
59,59,행당제2동
60,60,응봉동
61,61,금호1가동
62,62,금호2.3가동
63,63,금호4가동
64,64,옥수동
65,65,성수1가제1동
66,66,성수1가제2동
67,67,성수2가제1동
68,68,성수2가제3동
69,69,송정동
70,70,용답동
71,6060,자양동
72,72,화양동
73,73,군자동
74,74,중곡제1동
75,75,중곡제2동
76,76,중곡제3동
77,77,중곡제4동
78,78,능동
79,79,광장동
80,80,자양제1동
81,81,자양제2동
82,82,자양제3동
83,83,자양제4동
84,84,구의제1동
85,85,구의제2동
86,86,구의제3동
87,6085,장안동
88,88,용신동
89,89,제기동
90,90,전농제1동
91,91,전농제2동
92,92,답십리제1동
93,93,답십리제2동
94,94,장안제1동
95,95,장안제2동
96,96,청량리동
97,97,회기동
98,98,휘경제1동
99,99,휘경제2동
100,100,이문제1동
101,101,이문제2동
102,6407,면목동
103,103,면목제2동
104,104,면목제4동
105,105,면목제5동
106,106,면목본동
107,107,면목제7동
108,108,면목제3.8동
109,109,상봉제1동
110,110,상봉제2동
111,111,중화제1동
112,112,중화제2동
113,113,묵제1동
114,114,묵제2동
115,115,망우본동
116,116,망우제3동
117,117,신내1동
118,118,신내2동
119,6145,길음동
120,120,성북동
121,121,삼선동
122,122,동선동
123,123,돈암제1동
124,124,돈암제2동
125,125,안암동
126,126,보문동
127,127,정릉제1동
128,128,정릉제2동
129,129,정릉제3동
130,130,정릉제4동
131,131,길음제1동
132,132,길음제2동
133,133,종암동
134,134,월곡제1동
135,135,월곡제2동
136,136,장위제1동
137,137,장위제2동
138,138,장위제3동
139,139,석관동
140,142,미아동
141,141,삼양동
142,142,미아동
143,143,송중동
144,144,송천동
145,145,삼각산동
146,146,번1동
147,147,번2동
148,148,번3동
149,149,수유1동
150,150,수유2동
151,151,수유3동
152,152,우이동
153,153,인수동
154,6080,창동
155,155,창제1동
156,156,창제2동
157,157,창제3동
158,158,창제4동
159,159,창제5동
160,160,도봉제1동
161,161,도봉제2동
162,162,쌍문제1동
163,163,쌍문제2동
164,164,쌍문제3동
165,165,쌍문제4동
166,166,방학제1동
167,167,방학제2동
168,168,방학제3동
169,6073,상계동
170,170,월계1동
171,171,월계2동
172,172,월계3동
173,173,공릉1동
174,174,공릉2동
175,175,하계1동
176,176,하계2동
177,177,중계본동
178,178,중계1동
179,179,중계4동
180,180,중계2.3동
181,181,상계1동
182,182,상계2동
183,183,상계3.4동
184,184,상계5동
185,185,상계6.7동
186,186,상계8동
187,187,상계9동
188,188,상계10동
189,205,진관동
190,190,녹번동
191,191,불광제1동
192,192,불광제2동
193,193,갈현제1동
194,194,갈현제2동
195,195,구산동
196,196,대조동
197,197,응암제1동
198,198,응암제2동
199,199,응암제3동
200,200,역촌동
201,201,신사제1동
202,202,신사제2동
203,203,증산동
204,204,수색동
205,205,진관동
206,211,연희동
207,207,천연동
208,208,북아현동
209,209,충현동
210,210,신촌동
211,211,연희동
212,212,홍제제1동
213,213,홍제제3동
214,214,홍제제2동
215,215,홍은제1동
216,216,홍은제2동
217,217,남가좌제1동
218,218,남가좌제2동
219,219,북가좌제1동
220,220,북가좌제2동
221,237,상암동
222,222,아현동
223,223,공덕동
224,224,도화동
225,225,용강동
226,226,대흥동
227,227,염리동
228,228,신수동
229,229,서강동
230,230,서교동
231,231,합정동
232,232,망원제1동
233,233,망원제2동
234,234,연남동
235,235,성산제1동
236,236,성산제2동
237,237,상암동
238,6190,목동
239,239,목1동
240,240,목2동
241,241,목3동
242,242,목4동
243,243,목5동
244,244,신월1동
245,245,신월2동
246,246,신월3동
247,247,신월4동
248,248,신월5동
249,249,신월6동
250,250,신월7동
251,251,신정1동
252,252,신정2동
253,253,신정3동
254,254,신정4동
255,255,신정6동
256,256,신정7동
257,6052,마곡동
258,258,염창동
259,259,등촌제1동
260,260,등촌제2동
261,261,등촌제3동
262,262,화곡제1동
263,263,화곡제2동
264,264,화곡제3동
265,265,화곡제4동
266,266,화곡본동
267,267,화곡제6동
268,268,화곡제8동
269,269,가양제1동
270,270,가양제2동
271,271,가양제3동
272,272,발산제1동
273,273,우장산동
274,274,공항동
275,275,방화제1동
276,276,방화제2동
277,277,방화제3동
278,6064,구로동
279,279,신도림동
280,280,구로제1동
281,281,구로제2동
282,282,구로제3동
283,283,구로제4동
284,284,구로제5동
285,285,가리봉동
286,286,고척제1동
287,287,고척제2동
288,288,개봉제1동
289,289,개봉제2동
290,290,개봉제3동
291,291,오류제1동
292,292,오류제2동
293,293,수궁동
294,295,가산동
295,295,가산동
296,296,독산제1동
297,297,독산제2동
298,298,독산제3동
299,299,독산제4동
300,300,시흥제1동
301,301,시흥제2동
302,302,시흥제3동
303,303,시흥제4동
304,304,시흥제5동
305,6216,여의도동
306,306,영등포본동
307,307,영등포동
308,308,여의동
309,309,당산제1동
310,310,당산제2동
